,customer_id,customer_name,registration_date,gender,age,birth,pref
0,IK152942,김서준,2019-01-01 0:25,M,29,1990-06-10,대전광역시
1,TS808488,김예준,2019-01-01 1:13,F,33,1986-05-20,인천광역시
2,AS834628,김도윤,2019-01-01 2:00,F,63,1956-01-02,광주광역시
3,AS345469,김시우,2019-01-01 4:48,M,74,1945-03-25,인천광역시
4,GD892565,김주원,2019-01-01 4:54,M,54,1965-08-05,울산광역시
5,AS265381,김하준,2019-01-01 5:51,M,69,1949-08-09,서울특별시
6,HD739338,김지호,2019-01-01 5:51,M,45,1974-06-04,대전광역시
7,HI791416,김지후,2019-01-01 7:03,F,30,1989-07-25,대구광역시
8,HD819739,김준서,2019-01-01 8:17,F,49,1969-10-08,대전광역시
9,OA239766,김준우,2019-01-01 8:59,M,22,1997-01-12,인천광역시
10,HD743252,김현우,2019-01-01 15:13,M,51,1967-11-08,서울특별시
11,OA336650,김지훈,2019-01-01 15:57,M,68,1950-08-13,대전광역시
12,OA176831,김도현,2019-01-01 17:30,M,24,1995-06-13,광주광역시
13,HD104458,김건우,2019-01-01 19:55,M,27,1991-12-18,인천광역시
14,HI652550,김우진,2019-01-01 19:55,F,43,1976-02-10,서울특별시
15,HD994980,김민재,2019-01-01 21:22,F,52,1967-08-05,울산광역시
16,GD455127,김선우,2019-01-01 21:29,M,55,1963-09-30,부산광역시
17,IK623902,김현준,2019-01-01 21:35,F,63,1956-03-31,서울특별시
18,OA308429,김서진,2019-01-01 21:42,F,58,1961-01-23,부산광역시
19,OA640152,김연우,2019-01-01 23:25,M,63,1955-12-18,광주광역시
20,PL407221,김유준,2019-01-02 0:42,F,70,1948-11-14,인천광역시
21,AS071660,김정우,2019-01-02 1:25,M,37,1981-11-18,울산광역시
22,OA558666,김승현,2019-01-02 3:00,F,61,1957-11-14,서울특별시
23,OA449732,김승우,2019-01-02 3:27,F,67,1951-09-28,인천광역시
24,HI531972,김준혁,2019-01-02 4:59,F,67,1952-06-21,인천광역시
25,IK661529,김지환,2019-01-02 5:00,M,56,1963-03-26,인천광역시
26,HD176754,김시윤,2019-01-02 6:14,M,60,1959-04-07,서울특별시
27,AS453084,김승민,2019-01-02 7:24,M,49,1970-06-17,서울특별시
28,TS855513,김은우,2019-01-02 8:18,F,69,1950-06-01,대구광역시
29,TS971314,김지우,2019-01-02 9:39,M,61,1958-02-06,부산광역시
30,TS456293,김유찬,2019-01-02 10:41,F,69,1949-09-15,부산광역시
31,HI089467,김민성,2019-01-02 12:41,M,33,1986-06-23,서울특별시
32,HI499195,김준영,2019-01-02 15:52,F,43,1976-05-29,부산광역시
33,OA207651,김윤우,2019-01-02 15:56,F,72,1947-03-01,울산광역시
34,AS185951,김시후,2019-01-02 16:54,F,70,1949-07-09,서울특별시
35,HD959899,김진우,2019-01-02 16:56,M,24,1995-05-15,울산광역시
36,IK749861,김지원,2019-01-02 17:39,M,72,1947-02-15,인천광역시
37,TS365803,김수현,2019-01-02 21:11,M,38,1981-06-18,대전광역시
38,TS810881,김동현,2019-01-02 22:33,M,25,1994-06-03,서울특별시
39,IK171801,김재윤,2019-01-02 22:56,M,67,1952-08-06,대전광역시
40,IK120435,김시현,2019-01-02 23:53,M,55,1963-12-16,울산광역시
